"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Digestive system","cfa04971","Gastric acid secretion","71/7472","74/9973",0.959459459459459,1.28060615487007,4.18764744007317,1.36150770526608e-06,4.12066933806195e-06,7.48290215283642e-07,"403580/489968/485773/484056/477160/487289/607357/403472/475538/482994/403943/488636/403859/477187/479975/488012/486628/476034/490904/481746/100685087/481036/492302/475345/442957/482687/610764/477928/478624/477098/611810/403471/100855695/490031/403992/478227/480416/403717/403812/403827/403928/403966/403993/431686/404020/478171/403556/488635/475923/612941/478351/102153034/477625/100856190/487759/483669/489285/485333/480271/490295/489050/482045/489479/490822/607269/100682768/474584/100855828/612463/487146/476548",71
"Human Diseases","Cancer: specific types","cfa05214","Glioma","71/7472","74/9973",0.959459459459459,1.28060615487007,4.18764744007317,1.36150770526608e-06,4.12066933806195e-06,7.48290215283642e-07,"489968/485874/478232/442860/449021/442964/474890/100856339/491857/100855728/100855664/403431/478347/403872/483626/490439/609956/490904/403869/442951/484665/449028/491597/483312/403871/482687/610764/484648/100855877/477085/476352/489692/481131/611939/403523/477575/480416/403657/476915/403735/403832/610255/404306/442985/442986/607636/487235/403693/612941/478351/102153034/100684140/485839/479180/488239/488084/490273/490682/487546/489050/481744/490878/607269/485069/489644/609920/484198/474584/100855828/475526/487146",71
"Human Diseases","Cancer: specific types","cfa05220","Chronic myeloid leukemia","71/7472","74/9973",0.959459459459459,1.28060615487007,4.18764744007317,1.36150770526608e-06,4.12066933806195e-06,7.48290215283642e-07,"477488/442859/449021/477039/442964/474890/100856339/491857/100855728/480291/490969/481628/403429/100855664/478347/403872/488148/483626/490439/609956/403869/449028/483312/476196/403871/487309/100684514/484648/100855877/490968/477085/476352/481131/611939/403523/477575/475035/488596/476915/403735/403924/487235/490796/403693/403618/482839/485839/479180/477796/487746/488239/488084/489369/483729/607482/490682/483763/487546/608125/481744/610902/490878/100684309/100683481/485069/489644/491292/609920/484198/475526/485167",71
"Human Diseases","Infectious disease: bacterial","cfa05132","Salmonella infection","232/7472","268/9973",0.865671641791045,1.15542602831666,4.45806192935584,1.58259908473708e-06,4.74779725421124e-06,8.62173093254734e-07,"403580/403755/474519/485217/478918/475236/474652/476649/480337/478585/611857/481003/478797/442859/100683291/449021/480037/403416/489508/479317/474830/479693/475875/474682/100682715/475549/478701/479636/478696/442964/480569/403417/100856149/485856/479772/403856/477200/479745/612913/480291/100683352/491949/479326/485004/475876/611694/474909/478347/480454/106557476/475851/403435/480000/485950/476413/610530/482250/481084/607207/480437/476804/478702/100855591/609544/448807/484028/609395/477038/476423/474394/486896/612856/483106/486492/100856347/100856398/490255/485399/474750/477024/474416/489547/489433/484648/477746/106560075/490710/480487/607397/476254/490477/100855877/480673/611262/478828/403502/102154194/479464/477085/403954/476059/475213/476144/477936/100856310/478680/481884/481396/100855651/100174780/607247/477257/484949/611939/483715/403505/403523/403567/490679/478464/477575/474919/480438/489374/403614/607885/480193/474570/475600/403634/479001/403850/403974/403985/403670/403702/403724/403735/403791/403924/475258/403941/477700/404007/404008/404019/403796/477032/403955/479744/607701/479461/487672/477462/476909/403922/607076/484448/476691/480649/487516/487503/477331/482839/490792/475923/612944/474798/100688110/477441/609233/612070/474415/100856747/100856405/102152063/477796/478938/486601/488576/100856517/100855995/490576/486894/488084/478507/488605/403947/488473/608486/477681/607023/483729/491807/608177/478907/610636/481506/609100/612985/481744/488833/611888/100687846/486762/489091/106558389/479135/479804/487657/492067/490878/612700/609429/481245/612821/492247/482252/489644/489760/481270/474541/481849/611680/482382/102156745/482970/610829/483266/610524/487148/608079",232
"Organismal Systems","Immune system","cfa04659","Th17 cell differentiation","95/7472","102/9973",0.931372549019608,1.2431180984171,4.2656922585994,1.62639853790835e-06,4.79507155141945e-06,8.70757837900115e-07,"478013/403486/485874/474652/612559/442952/478232/100856077/442859/477039/491278/480526/403856/480291/490969/480348/481628/612271/483925/475251/487134/403439/609817/487739/489957/100142679/479678/403545/476196/484185/609027/474860/481732/611571/490967/477746/478151/479248/100855877/490968/478989/607827/478464/477575/474919/480438/403974/403985/403931/403851/403870/442981/403785/403801/442935/484907/479419/474869/481731/403989/482839/490792/481735/481110/100684399/477796/487746/481153/485930/607023/489383/483205/483729/607786/488126/484828/610004/491876/491044/607880/607947/610902/608011/480144/476714/609732/609429/485043/612821/102155642/481328/481837/481838/100271860/484519",95
"Human Diseases","Endocrine and metabolic disease","cfa04933","AGE-RAGE signaling pathway in diabetic complications","95/7472","102/9973",0.931372549019608,1.2431180984171,4.2656922585994,1.62639853790835e-06,4.79507155141945e-06,8.70757837900115e-07,"403651/489968/485874/474652/442859/403784/485773/449021/403476/477160/403416/477039/442964/100856339/477295/403856/490969/403424/486808/403824/491749/481628/403429/483925/479577/403872/403843/478835/403840/476034/609956/403496/490904/403841/494005/474355/449028/476196/490153/403871/484185/481772/403466/490967/477746/100855877/403982/490968/477085/489692/481131/476036/403523/403567/478464/477575/488596/403168/403850/403974/403985/403802/403733/403735/403782/403783/403836/403842/403845/403975/403981/403999/487235/403955/490796/403922/491825/100684883/482932/100856190/488084/607023/483729/490929/478910/610902/480144/481528/490878/609429/612821/489644/609934/485144/485586",95
"Human Diseases","Cancer: specific types","cfa05210","Colorectal cancer","83/7472","88/9973",0.943181818181818,1.25888012215301,4.21603710844531,1.6962697584391e-06,4.95832698620659e-06,9.00404100296057e-07,"474652/477019/478232/449021/403416/479139/475875/477039/442964/474890/100856339/483881/491857/100855728/481628/612867/403431/480580/478347/403872/483626/609956/403869/442936/494002/449028/483312/476196/403871/484648/477746/490099/478575/100855877/480686/477085/403954/487432/611939/403523/403567/479164/478464/477575/488596/403657/403735/403924/475258/404306/477032/487235/403955/490796/481271/490792/483976/612070/484716/479180/486894/490903/488084/478507/610499/490682/483763/481506/481744/610902/480144/490878/609429/485069/485084/489644/484198/474585/611946/475176/475526/612153/106559217",83
"Human Diseases","Infectious disease: viral","cfa05168","Herpes simplex virus 1 infection","151/7472","169/9973",0.893491124260355,1.19255714430521,4.36369168657134,1.79213823608972e-06,5.19416336222613e-06,9.43230650573536e-07,"100856468/477510/442952/100683675/478232/477488/100856058/100856077/442859/479883/449021/403416/475730/485864/442964/100856339/475590/490754/476728/480291/479329/611694/477402/474873/483594/487739/609956/478279/486493/403869/474816/448807/442934/484028/484185/474866/490789/490310/477024/474860/481732/476412/486469/489433/607948/479580/478950/475449/100856343/484196/491859/478257/477447/609830/480673/607899/475702/480361/611262/403502/479464/477085/609693/478160/487432/541592/403522/607827/403687/608778/481111/476694/481740/483780/403523/403567/482620/403558/403667/474836/403634/403974/403985/403788/475258/403977/403981/100855741/403801/442949/475545/487235/403557/475379/442968/480688/403922/474869/481731/403618/482839/100855560/100302056/488371/474864/611397/485789/100688110/475756/482905/611051/477490/481145/477796/486601/474838/607183/488084/489363/480019/488473/483729/607786/491441/483763/489841/100686271/490360/481744/403976/492024/476714/487641/490867/490878/611306/481245/474887/100683481/492246/492247/607492/489644/481558/100686162/611406/102156745/100856206/611060/484478/606815",151
"Metabolism","Lipid metabolism","cfa00565","Ether lipid metabolism","45/7472","45/9973",1,1.33471627408994,3.88959982368214,2.2030103728696e-06,6.27857956267836e-06,1.14015449122199e-06,"484502/482026/479557/487910/485407/476045/475636/611345/610214/488421/478174/100856443/481256/478238/478207/480656/612948/607962/488066/480048/403848/487514/476449/100855729/102151235/478514/611330/487512/608811/487515/404011/611401/611960/486361/489045/487398/487399/487397/488167/479473/491117/612697/489997/100302747/611194",45
"Organismal Systems","Endocrine system","cfa04913","Ovarian steroidogenesis","45/7472","45/9973",1,1.33471627408994,3.88959982368214,2.2030103728696e-06,6.27857956267836e-06,1.14015449122199e-06,"487289/607357/482994/100856301/403943/403859/483146/479975/609364/483038/484990/100683160/442951/497070/486241/483665/478624/403483/475588/480048/490031/442942/487514/610255/478365/403556/477753/477625/478715/487512/608811/487515/477807/485428/480271/607570/494003/482045/490770/490771/100686778/610195/489690/481365/481367",45
"Environmental Information Processing","Signal transduction","cfa04630","JAK-STAT signaling pathway","145/7472","162/9973",0.895061728395062,1.19465345520395,4.31733458724452,2.24767901683603e-06,6.30438206106567e-06,1.14484007880232e-06,"100856468/442952/478232/477488/100856077/442860/474581/449021/403416/480147/442964/474890/449478/100856339/478350/492162/490969/612271/403584/609266/483464/483697/403439/487739/403449/609956/609293/489957/100142679/442934/403545/450207/488241/449028/491597/483312/100856303/484185/481772/490967/484648/607605/609830/490968/607899/480495/477085/489223/611782/481111/612582/481276/403721/477990/403537/403790/403657/403985/403735/403795/403821/403851/403870/403923/403924/403628/403977/404002/403785/403801/404306/442949/442941/442985/442986/487235/442935/487141/478404/484907/403623/403989/403618/100687271/612276/479866/100855737/487212/481110/607671/481497/610961/751768/484002/100856046/608923/481153/484757/491709/488084/483160/490265/609203/609213/611377/608849/488467/611921/100855822/610823/612279/490682/442990/486717/484828/610004/608246/100682918/491039/489915/100684945/607880/403976/608011/484943/476714/403622/490878/489550/609732/479363/490563/490006/485049/100683481/489644/608847/481558/100686162/611406/403616/100855436/481588/612539/476553",145
"Organismal Systems","Immune system","cfa04662","B cell receptor signaling pathway","69/7472","72/9973",0.958333333333333,1.27910309600286,4.10812919051741,2.24893161242694e-06,6.30438206106567e-06,1.14484007880232e-06,"489968/403486/612559/442859/449021/442964/100856339/476188/480291/485209/483925/478347/403872/609956/479678/490269/483312/403871/609027/477886/484648/484196/479248/478575/100855877/477085/478491/489692/484306/611939/490183/479921/477575/611606/403735/487235/403955/484309/611329/481271/482839/490792/476485/486080/486814/608653/477796/487881/488084/485930/100688270/609449/100856270/483729/490682/486717/489887/607898/490878/485016/609429/489644/608060/102155642/481595/611446/484483/484519/106559217",69
"Organismal Systems","Nervous system","cfa04726","Serotonergic synapse","104/7472","113/9973",0.920353982300885,1.22841143810047,4.22057219120736,2.55974498631757e-06,7.11733971805374e-06,1.2924685853037e-06,"489968/483783/403407/606913/488355/485773/477160/403450/100687745/403895/491857/100686332/403943/403859/490244/403516/479975/100688697/478347/403872/486628/403451/100683432/476034/610817/415120/489117/490904/481746/450240/100855806/489284/403871/442957/479733/403912/484648/609157/100855877/608623/611810/403567/480048/477575/478227/442942/403617/403735/403741/415122/403881/403882/403928/403963/487514/477762/403511/474640/479476/403544/606852/403556/611002/477753/480660/100683938/485698/484724/100856190/611956/486591/487512/487756/608811/487515/486138/481165/607513/488087/486908/607416/487230/489399/611236/480915/489458/489485/100686650/489486/489146/489198/610195/491184/100534634/612139/611349/100855828/481907/491424/475526/482505/106559760/482814/476548",104
"Human Diseases","Infectious disease: parasitic","cfa05145","Toxoplasmosis","98/7472","106/9973",0.924528301886792,1.23398297038503,4.18598183294937,2.88316724907433e-06,7.83514727039274e-06,1.42281837166258e-06,"479406/474652/442952/100856077/442859/449021/475882/403416/442964/479875/403417/403856/480291/442939/480454/480173/102156629/475034/476626/487739/100683160/480034/448807/484028/484789/610502/442957/484185/403468/403469/477024/474860/489547/481732/489433/490967/477746/100856563/609157/100855877/100683420/474850/611810/479464/487432/607827/403567/478464/477575/478227/488596/403634/403822/475258/403628/403977/403801/442953/442989/478404/490796/491290/403922/474869/481731/403618/477753/490008/482839/100688110/477796/486601/100684769/403612/488473/607023/606863/442954/485969/610823/483729/607786/483763/403976/608225/612805/476714/490878/490006/481245/612821/492247/102156745/483260/477956/483266/610524/484519",98
"Organismal Systems","Endocrine system","cfa04929","GnRH secretion","61/7472","63/9973",0.968253968253968,1.29234432888073,4.02328540361354,2.88663320488154e-06,7.83514727039274e-06,1.42281837166258e-06,"489968/488355/485773/449021/485189/477160/442964/100856339/490244/403516/478347/403872/486628/476034/609956/490904/480808/481746/448791/485401/489284/403639/403871/484648/100855877/403483/477085/611939/477575/403533/403735/403914/403928/487235/474640/478471/481627/486004/485698/484724/608671/100856190/106558365/487756/488084/488340/484829/480915/607262/490426/491083/490441/492072/490878/612434/481243/612374/489644/100855828/484464/476548",61
"Human Diseases","Cancer: specific types","cfa05217","Basal cell carcinoma","61/7472","63/9973",0.968253968253968,1.29234432888073,4.02328540361354,2.88663320488154e-06,7.83514727039274e-06,1.42281837166258e-06,"608531/100682984/479139/474890/100855728/100855424/483244/483626/486756/488478/403869/490099/478575/484721/403523/403610/484137/477032/487073/477162/607180/486232/612070/481126/486093/486560/479180/486841/486894/490903/478507/488734/478650/489809/490919/609107/481206/483220/490937/612367/490695/488527/488528/481506/481744/489464/100855884/482208/482209/100855811/485069/485084/482262/482294/484198/612141/612328/485149/482519/608860/485183",61
"Human Diseases","Infectious disease: viral","cfa05161","Hepatitis B","143/7472","160/9973",0.89375,1.19290266996788,4.25157702318044,3.24776984818211e-06,8.74596289825419e-06,1.58821733147737e-06,"486102/489968/474652/100855903/442952/100683675/442859/449021/403416/489508/477039/485864/442964/474890/100856339/403417/491857/403856/480291/490969/606963/481628/100855664/607060/483925/485004/611694/478347/403872/480454/479458/480372/403440/483626/609956/474503/475266/490904/609544/100142679/479678/403869/485046/448807/442934/442936/484028/483312/476196/403871/477302/484185/477024/489547/476412/486469/490967/484648/477746/478950/100855877/609830/490968/478061/480886/477085/484610/487432/481111/611939/403523/403567/482620/478806/478464/474855/477575/488596/487057/403885/403850/403985/476915/403735/403924/475258/477237/487235/442968/490796/477166/403922/611934/482839/100855560/488371/479866/490792/485789/100855704/100688110/482905/485839/100533188/486121/483636/481145/477796/486601/488239/488084/485930/488473/488472/480272/607023/479219/483729/491369/607922/490682/483763/491860/610004/476067/100684945/610902/612303/476714/490867/490878/609429/481245/612821/492247/489644/481558/100686162/611406/100855828/102156745/475526/483845",143
"Human Diseases","Cardiovascular disease","cfa05418","Fluid shear stress and atherosclerosis","128/7472","142/9973",0.901408450704225,1.20312452875713,4.21366898520942,3.56643435313204e-06,9.52906678727466e-06,1.7304245627861e-06,"403580/474519/474652/489077/442859/403784/449021/403416/489508/484671/485864/442964/100856339/477814/403980/403856/476078/403424/100856530/610775/478484/485004/480693/479912/486404/479577/481330/480454/476215/100686488/479155/609956/100856518/489117/403869/475294/474355/491597/610935/476140/481459/488437/477746/477683/403982/477085/479021/479351/403954/478813/607700/489664/475108/403498/485893/478464/480036/474919/480438/476713/480416/403885/403789/403634/403974/403802/403733/403788/403782/403975/403981/403999/404019/403801/442986/477032/487235/442987/403955/477556/478757/474939/403922/476006/481271/609050/610304/478874/476005/482839/479911/490792/475923/478351/474798/102153034/477796/477813/610169/488084/607023/486197/483729/102156614/490695/609559/489532/490878/484140/609429/489571/485049/607269/612821/489644/489775/482154/481328/481841/474938/477558/474584/102156745/482986/485590/487146/482840/106559217",128
"Human Diseases","Neurodegenerative disease","cfa05017","Spinocerebellar ataxia","137/7472","153/9973",0.895424836601307,1.19513810163609,4.2042135529835,4.07198704027835e-06,1.07137177987175e-05,1.94555047745255e-06,"479122/608721/489968/477129/478765/474652/480610/478232/485537/477876/485773/449021/477160/474467/476867/479220/480513/442964/100856339/480537/478654/479797/480428/606963/100856348/606491/100683530/492093/486628/476215/100855613/476034/609956/490904/612871/481746/486507/474681/494009/494007/610502/480229/477437/486535/489525/477746/608719/490477/476336/479960/480673/476209/490560/477085/479671/484700/489042/491018/475934/477532/478464/607466/475896/480478/403749/403758/475258/403928/475980/488232/483632/480830/477467/475848/480338/478158/487235/490899/477064/483273/100855659/100686423/100688636/611193/483706/100855986/475630/483756/476470/475338/479255/403878/474789/480290/484024/485808/486270/482667/100856190/611940/483634/485892/486845/488084/480465/610766/404305/100192385/483728/491437/490704/611011/490371/102152879/100686650/489951/489168/100856395/490878/492110/489569/610344/490012/475870/485092/489644/100856428/474897/100855828/607618/483832/484405/475040/483844/483302/484475/476548",137
"Environmental Information Processing","Signal transduction","cfa04340","Hedgehog signaling pathway","52/7472","53/9973",0.981132075471698,1.30953294816371,3.90518581900816,4.07246582992185e-06,1.07137177987175e-05,1.94555047745255e-06,"608531/480017/485189/403416/100682984/486327/608733/611166/100855424/479975/478781/483244/488533/479291/479331/479863/608821/449028/489889/483701/480470/474675/476751/475512/481481/480548/478575/484474/475928/479546/478338/611782/487979/484137/477392/403556/485382/481126/100685337/486851/489296/488604/488734/490358/611156/607262/607496/474510/482262/482519/608860/476134",52
"Human Diseases","Infectious disease: viral","cfa05162","Measles","122/7472","135/9973",0.903703703703704,1.20618804028868,4.16897860832781,4.37262206090572e-06,1.14155476704562e-05,2.0729988075005e-06,"100856468/479406/474652/442952/100683675/481003/442859/449021/403416/442964/100856339/403417/491743/480291/490969/403429/403646/611694/474844/485000/403439/487965/609956/491924/403869/448807/442934/484028/449028/612746/477024/476412/486469/490967/477746/478950/478575/478257/609830/490968/607899/480361/611262/403502/474850/477085/484610/487432/481131/608778/611782/481111/609365/403523/403567/482620/478464/480818/487057/403974/403985/403744/403782/403851/403870/475258/403977/442981/487235/442968/479419/403989/403618/482839/100855560/100302056/488371/490792/478108/611397/485789/100855704/100688110/477185/475756/484006/611051/477490/481145/477796/486601/403745/488084/403947/403612/488473/403642/489383/100856270/483729/475081/102156626/483763/610004/481744/100855668/403976/476714/490867/490878/609429/492247/489620/489644/608847/481558/100686162/611406/609920/102156745/612153/484519",122
"Metabolism","Global and overview maps","cfa01240","Biosynthesis of cofactors","135/7472","151/9973",0.894039735099338,1.19328938412014,4.13665433084935,5.88815815074053e-06,1.52556824814641e-05,2.770345541417e-06,"477043/478593/490739/489589/475378/480851/482846/475770/610941/479775/480366/480429/480540/477792/485196/611728/477091/475476/480893/606915/100856129/609040/403548/480093/479337/479301/610576/481784/480558/476638/478980/607664/612692/490438/610935/486310/480517/474808/610755/612569/610778/479108/609412/487788/608751/610267/611326/475769/480352/610537/608788/477888/484394/608996/475004/480098/475574/476245/479165/479107/474615/478962/481620/100856436/612283/476600/610291/478457/477214/490778/442962/403629/403736/610360/403831/611373/607458/474486/489373/100687720/480559/475309/478145/489515/476342/611514/480712/475515/100688308/480689/403978/100688635/479828/486790/476318/486633/489554/477168/483107/481118/102314701/102157398/486100/483118/487948/611501/483674/100688473/608853/492116/491498/609393/100686107/487436/490744/489133/479807/478369/487653/489536/611724/490013/100856596/100856724/489695/100855785/490204/484159/609822/611841/482197/475022/102156116/483009/483907",135
"Organismal Systems","Aging","cfa04213","Longevity regulating pathway - multiple species","58/7472","60/9973",0.966666666666667,1.29022573162027,3.89728088517646,6.28463474953072e-06,1.61182325410964e-05,2.92697974738286e-06,"479406/475546/478232/449021/487289/607357/442964/100856339/476815/482994/477295/489027/481954/403859/479975/485742/480580/403872/476258/609956/484990/442951/403871/485548/487309/486295/483665/478624/474850/477085/479351/490031/475035/479441/486559/610868/403735/610255/487235/488526/403556/403559/403474/477625/486148/100856379/488084/610499/403612/480271/489012/482045/492059/490878/489571/489644/610130/608378",58
"Metabolism","Nucleotide metabolism","cfa00230","Purine metabolism","125/7472","139/9973",0.899280575539568,1.20028441914563,4.11000342766767,6.31533087867521e-06,1.61182325410964e-05,2.92697974738286e-06,"480087/486975/607237/479116/478006/100855769/477809/488513/487289/607357/474746/479913/480429/480266/403620/482994/477236/483028/474762/403859/479545/482463/403781/100856092/481011/482963/487221/475791/479615/475178/480558/476638/479504/475272/478469/612692/482188/490189/488231/477123/486463/403825/100856179/479253/478624/476823/475651/479540/480098/488939/474984/488744/485564/480384/609255/476855/609938/553102/488752/490031/475393/403652/403863/403911/399653/610721/476630/481016/480559/481823/611031/478145/476342/611514/484249/480712/484073/480689/474820/483189/484169/476281/100215999/489554/100856025/486027/102314701/486805/102157398/483996/486810/482663/477625/486117/100856570/606901/611022/478504/481988/480271/610836/608853/486671/488422/479455/100686107/482045/489490/490455/100683695/609545/611724/100688937/100856596/490204/611407/100686175/475022/102156116/485435/476928/485604/485179/609574/100856150",125
"Organismal Systems","Immune system","cfa04610","Complement and coagulation cascades","77/7472","82/9973",0.939024390243902,1.25333113542592,3.98132944227004,6.87079413535949e-06,1.74060118095774e-05,3.16083316948312e-06,"607963/486714/403476/487382/399544/476993/476728/489221/442971/403426/478666/100855712/475473/479348/475474/480066/475623/479354/478194/478529/478952/478515/479555/403602/100687316/480621/475472/609285/100856539/480672/475624/608910/474816/488121/490269/474355/480422/490153/487381/477699/477707/485095/609365/481722/478711/476446/475966/403658/403770/403875/403921/442974/404015/608930/100688056/476104/480424/475945/607661/609604/485848/488942/490261/490262/486704/102156626/100685858/100682658/484846/489090/491925/487447/489928/489929/611266/490847/482840",77
"Organismal Systems","Digestive system","cfa04975","Fat digestion and absorption","41/7472","41/9973",1,1.33471627408994,3.71195858515143,7.03173775388164e-06,1.76827522928494e-05,3.2110876739862e-06,"479557/482093/608245/487873/485185/489421/486241/474857/484835/100856443/478207/491280/484063/607962/475931/478103/403619/403867/403970/404010/477830/489392/102151235/474571/478514/404011/486903/486361/479427/489045/487398/487399/487397/489997/491249/491317/481354/481651/610398/475680/485186",41
"Metabolism","Global and overview maps","cfa01212","Fatty acid metabolism","57/7472","59/9973",0.966101694915254,1.28947165462926,3.85443133018624,8.13669503466206e-06,2.03120416193753e-05,3.688551725279e-06,"477043/403583/475316/477856/488219/485024/483793/476687/478927/477517/474630/489421/100856745/489585/475631/477352/480828/489463/490207/483378/607895/610377/477820/611337/478506/487831/491130/481184/100856778/484063/479564/483322/486839/478345/478159/574011/487900/483792/475939/490568/478895/477023/609532/479067/474856/608764/476732/608997/474670/481018/486855/488110/488790/100683704/481894/607926/100855761",57
"Organismal Systems","Nervous system","cfa04721","Synaptic vesicle cycle","76/7472","81/9973",0.938271604938272,1.25232638062759,3.94108529753109,8.65305090486002e-06,2.14445174598705e-05,3.89420292438399e-06,"490341/475061/480360/491319/474840/489107/484655/479685/484826/483691/477158/403748/477740/476534/479877/477568/482579/474628/477929/475199/612960/475667/489104/490921/475994/477439/479134/479491/486137/486953/482528/484949/609241/403749/403750/403751/100856559/607705/480605/612591/480660/486245/486774/482623/612922/485870/487272/612095/100316859/486138/100855648/609304/487981/490256/486908/607139/100855965/404013/100856253/487564/489918/100686650/480578/611573/489187/491184/100505395/100683511/481359/481877/484375/476415/476427/482779/482789/482526",76
"Human Diseases","Substance dependence","cfa05033","Nicotine addiction","40/7472","40/9973",1,1.33471627408994,3.66622679434594,9.39804239899171e-06,2.31232410104688e-05,4.19904961408944e-06,"492223/606913/100687745/494009/494007/489609/488696/474789/480660/482131/489427/482623/482667/485870/100684421/488685/488688/100316859/485972/100686650/489124/490443/489141/489143/489145/489146/489168/492110/490012/492220/492225/485092/100856619/482132/481917/481918/476415/484405/483302/482836",40
"Human Diseases","Infectious disease: bacterial","cfa05152","Tuberculosis","146/7472","165/9973",0.884848484848485,1.18102167283109,4.05261211228418,1.00491332354624e-05,2.45485969037723e-05,4.4578861721224e-06,"481037/403486/474652/612559/442952/100683675/100856077/442859/449021/403416/479685/483691/485864/442964/476662/403417/476188/478984/476728/403856/475424/475380/474697/479409/479877/479329/611694/481133/484401/477929/485000/487739/609544/475312/448807/442934/403400/484185/474394/482687/489949/403462/483662/609027/477024/474860/610764/481732/484648/487114/477746/484196/479248/490477/100855877/611262/403502/403954/477936/486953/487432/482528/607827/490183/403523/403567/488367/482620/476995/478464/477575/480416/488596/403634/403974/403985/403770/403782/403822/475258/403628/403941/403977/404007/404008/403801/403796/607705/607367/442947/478404/490796/403922/475450/607076/474869/483197/481731/490008/479866/478854/612941/478351/100686458/486245/102153034/100688110/481110/485869/486588/486601/487286/611553/488473/488472/607023/610823/403798/100856270/100688560/483729/611385/607922/611538/607786/483763/489050/488834/100684945/489928/489929/403976/490878/610451/607269/612821/492247/607492/474897/481558/100686162/611406/474584/482779/483329/487146",146
"Metabolism","Lipid metabolism","cfa00590","Arachidonic acid metabolism","56/7472","58/9973",0.96551724137931,1.28869157498339,3.81113618624212,1.05286728997617e-05,2.55376321398476e-05,4.6374893698092e-06,"476045/480698/474802/609101/403740/100688697/475366/610385/100685915/610164/100856661/478481/497070/607806/481256/478207/482611/480048/442942/415122/487514/474177/477373/479476/403544/415128/102151235/477753/478514/476162/612760/486073/607316/100688446/487748/487512/608811/487515/404011/486361/486400/486401/489045/487398/487399/487397/489458/480383/489485/489486/489487/489997/610195/489616/482771/611194",56
"Organismal Systems","Nervous system","cfa04720","Long-term potentiation","62/7472","65/9973",0.953846153846154,1.27311398451655,3.8182146384987,1.27821590670216e-05,3.07852000064885e-05,5.59041797593974e-06,"608981/489968/403486/612559/485773/477160/607357/491857/403516/479975/478347/403872/486628/476034/474503/490904/481746/494009/494007/403871/482687/609027/100855706/610764/484648/479248/100855877/483225/611939/403558/477575/480416/403735/403928/403557/612448/403556/479866/485146/612941/478351/484024/102153034/100684140/482667/100856190/486591/487353/489050/482045/100684945/491989/489168/490012/607269/474584/100855828/475526/484405/483302/487146/476548",62
"Organismal Systems","Immune system","cfa04666","Fc gamma R-mediated phagocytosis","90/7472","98/9973",0.918367346938776,1.22575984355198,3.88189605183319,1.58405333608322e-05,3.78843525133189e-05,6.87958386668457e-06,"489968/482044/485874/490649/479557/449021/480037/475024/475549/476331/442964/100856339/478984/474819/479745/487343/485209/480580/478347/484401/475659/609956/486934/490904/494005/612856/403462/490255/612998/483870/475846/477886/484648/106560075/100856443/484196/481256/100855877/477085/607700/489692/481396/484949/489261/475245/490679/607962/480048/479921/477575/607885/403702/403936/487514/487235/403955/479744/481271/476022/477331/475877/485828/100856747/487512/608811/487515/488084/610499/100688270/489800/100856270/486363/487377/478907/608125/488167/491867/479473/607947/490878/485016/100684309/485054/489644/608060/102154266/609934/100855828/485167/483329",90
"Human Diseases","Endocrine and metabolic disease","cfa04936","Alcoholic liver disease","120/7472","134/9973",0.895522388059702,1.19526830515517,3.93333916377553,1.61159924931568e-05,3.80745477575734e-05,6.91412224591207e-06,"403583/474652/475546/477732/609781/442859/475670/449021/610941/487382/489508/442964/403417/476728/485876/477295/403856/607640/480291/481954/478991/485004/481486/611694/480454/478194/476215/100685468/609544/403654/474816/442934/489463/484028/449028/490207/487381/483378/478487/486295/477024/610267/479127/489547/476412/486469/477746/100856533/478950/403475/486759/478575/611262/487831/479351/491130/481184/100856778/483322/610118/486839/478663/481722/481620/403567/478464/486559/403619/403625/403634/403850/403974/403985/442974/403977/477032/442968/488526/403922/607076/415128/100688308/482839/489688/100688110/612070/486263/485869/102152063/481145/477796/486601/479995/100856379/486894/478507/488473/607023/489012/483729/491807/490926/486704/488790/481506/403976/490867/490878/481245/489571/612821/492247/481558/100686162/611406/481837/482358/102156745/485144/610524",120
"Genetic Information Processing","Chromosome","cfa03083","Polycomb repressive complex","79/7472","85/9973",0.929411764705882,1.24050100768359,3.8487956675546,1.6142717616515e-05,3.80745477575734e-05,6.91412224591207e-06,"476779/491681/481249/481247/612315/474682/480516/607426/478729/100856670/611171/609969/481127/474844/479709/475785/474782/480955/100688017/479492/487309/484737/486794/487297/478149/607905/483702/608578/479948/612742/610167/478398/480854/491158/484690/481933/475035/482015/607720/608271/486262/475511/479854/481741/486817/484728/478495/491035/479866/100685660/480880/477231/478266/609790/609633/486656/491758/480042/488158/612447/489885/608579/612721/481235/100684945/490492/490541/481047/492246/608113/482448/609996/100688884/487097/100684260/483910/483349/608591/608556",79
"Organismal Systems","Endocrine system","cfa04923","Regulation of lipolysis in adipocytes","54/7472","56/9973",0.964285714285714,1.28704783572958,3.72315274898465,1.75981568755715e-05,4.1223079804421e-05,7.48587783459783e-06,"449021/487289/607357/442964/100856339/482994/476045/403943/403859/479975/403430/608289/609956/484990/485548/442957/484662/474742/403607/609616/611403/483665/478624/403483/611810/477085/475257/608476/100856637/490031/478227/442942/399518/442979/403910/403968/403973/476511/487235/403544/403556/100855930/477625/403961/486148/488084/480271/482045/490455/492059/490878/489644/485570/493972",54
